[2025-06-09 18:55:39,704 ] 148 numexpr.utils - INFO - Note: NumExpr detected 16 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[2025-06-09 18:55:39,704 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[2025-06-09 18:55:49,632 ] 15 root - INFO - Initiate the data ingestion
[2025-06-09 18:56:37,197 ] 58 root - INFO - Performed train test split on dataframe
[2025-06-09 18:56:37,197 ] 60 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-06-09 18:56:37,197 ] 65 root - INFO - Exporting train and test file path
[2025-06-09 18:56:40,786 ] 72 root - INFO - Exported train and test file path
[2025-06-09 18:56:40,793 ] 17 root - INFO - Data Initiation Completed
[2025-06-09 18:56:40,838 ] 21 root - INFO - Initiate Data Validation
[2025-06-09 18:56:41,423 ] 32 root - INFO - Required number of columns:2
[2025-06-09 18:56:41,423 ] 33 root - INFO - Dataframe has columns: 112
[2025-06-09 18:56:41,423 ] 32 root - INFO - Required number of columns:2
[2025-06-09 18:56:41,423 ] 33 root - INFO - Dataframe has columns: 112
[2025-06-09 18:56:46,505 ] 23 root - INFO - data validation completed
